,river,creek,wwtp,setting
01_25_2007_13,337.14869407777536,37.2519768698737,15263.167415049114,631.7574994732805
02_04_2007_10,58.338165434149026,29.137079942158262,11227.747028395854,150.5310845797485
02_08_2007_07,4717.8735850600615,211.3715691311999,11904.292669225713,634.3752426610295
02_10_2007_02,707.166132374005,0.005850169488609641,14493.903789195176,144.74012777449167
02_21_2007_13,88.17955538330536,0.0,15390.649414543266,135.79141595579785
02_24_2007_17,23.210349609470605,0.3063074580404796,12122.062257127467,151.09102654098166
02_28_2007_12,1874.1496981676157,16.195740405855645,14290.329975427612,295.366493725639
03_19_2007_14,0.0,0.0,18450.29007642426,88.56693131840277
04_04_2007_12,5300.21406752984,1718.8450786435787,5580.350741365097,242.77747676084329
04_05_2007_09,168.2148151518985,10.073301014793826,10864.973573997737,236.49664234267982
04_10_2007_02,35.723426206145675,31.543134913681417,9691.008559834974,126.29075581521971
04_27_2007_11,0.0,0.0,18693.954586059197,118.60670597018955
04_29_2007_02,123.62063426781143,1.426724649863305,11033.575863502294,215.62848769678433
05_10_2007_22,508.35478669315347,17.66523655297995,11222.096257213383,203.7374087666032
05_22_2007_05,7102.270754709529,386.9221129812643,11666.905963427855,490.6469043746529
06_12_2007_23,39.32146522733811,0.0,6726.737123522975,105.98684540525474
07_18_2007_12,6722.906984096915,1741.312476343116,4742.4168042045185,327.1590027055169
07_23_2007_19,852.7064992542277,36.16164112790832,11507.77439094324,405.5507041125532
07_25_2007_01,5574.729824200596,605.6012480681219,9375.659756833213,550.0044081257186
07_27_2007_22,0.0,0.0,6968.637705978579,86.86862384214278
07_31_2007_00,4771.1982332038415,608.921822781071,18982.17191967515,628.9856065800395
08_15_2007_13,847.3461662333112,22.20881234206783,4986.281028682295,176.78633092187138
08_22_2007_08,119.72276701165289,67.33706905410507,4214.814059273947,144.8746323513613
08_22_2007_21,642.4438197365565,1757.9487680999569,3813.879477341654,203.77978281891924
08_30_2007_03,219.1804114363859,0.0,10972.085485168662,130.6137987705663
08_30_2007_21,1546.4492859007883,570.9869994094431,10079.948581149267,350.51763960810115
09_26_2007_12,8926.646486182275,260.20772568426287,2616.0378162521088,248.91440531830972
11_12_2007_20,0.0,0.0,9534.737945758352,120.15117793654288
11_13_2007_14,3387.197289553224,544.4251018454613,3915.145377372749,239.02604223587113
11_16_2007_03,920.7001553372235,3.6678628368332684,6859.01659874278,131.91449748743793
11_17_2007_20,1007.5107578478776,188.47676167246001,13322.937194643013,335.4491656719204
11_19_2007_15,25.023078282309903,0.0,12379.773118781799,115.18469143576922
12_11_2007_21,53.08408946643885,0.0,5277.341967220769,129.8578584122115
12_13_2007_10,6.850744240417858,0.0,9420.756732893511,110.7001948142738
12_17_2007_20,365.1775780193253,387.0862985359552,3973.3358359657914,194.21789432703673
12_24_2007_21,718.8216234631961,2.8054050387339804,6842.60882974816,245.63432265907898
12_27_2007_17,5564.041762354353,1034.091408022493,8019.548944495644,393.1952597416806
