,nodes,GNN,NN
0,jd1,0.0072890464,0.005790658
1,jd2,0.070071116,0.59220296
2,jd3,0.058742404,0.14729497
3,jd4,0.10257706,0.17113927
4,jd5,0.0044891336,0.0040966365
5,jd6,0.005697245,0.005106193
6,jd7,0.03936842,0.034295283
7,jd8,0.11025439,0.09783293
8,jd9,0.104796365,0.10953212
9,jd10,0.082176425,0.14325698
10,jd11,0.005353198,0.0047064903
11,jd12,0.08261888,0.14116253
12,jd13,0.032015618,0.10983577
13,jd14,0.076510586,0.15526825
14,jd15,0.0450922,0.044251263
15,jd16,0.04661372,0.05897238
16,jd17,0.10560178,0.15747707
17,jd18,0.09384985,0.14379038
18,jd19,0.090524755,0.13183779
19,jd20,0.03483452,0.1938233
20,jd21,0.084131636,0.084977455
21,jd22,0.100924455,0.08134203
22,jd23,0.060669787,0.091698304
23,jd24,0.010978671,0.007834562
24,jd25,0.06594466,0.09302341
25,jd26,0.08867016,0.22366334
26,jd27,0.05101371,0.097787246
27,jd28,0.06941311,0.1592795
28,jd29,0.0051153502,0.0046892255
29,jd30,0.005528808,0.0047351816
30,jd31,0.26037985,0.23961182
31,jd32,0.0823669,0.14713056
32,jd33,0.052866053,0.19064666
33,jd34,0.06499172,0.1298322
34,jd35,0.066217065,0.1372809
35,jd36,0.08154864,0.15779
36,jd37,0.08941719,0.22253454
37,jd38,0.069777444,0.06460817
38,jd39,0.06496672,0.1247484
39,jd40,0.10206815,0.15558079
40,jd41,0.045568213,0.065550596
41,jd42,0.044671286,0.16256872
42,jd43,0.13831785,0.1587955
43,jd44,0.090188384,0.12360682
44,jd45,0.11628212,0.14408527
45,jd46,0.06370969,0.102560356
46,jd47,0.010046748,0.00729632
47,jd48,0.031408116,0.102207504
48,jd49,0.045021996,0.2609064
49,jd50,0.07653075,0.1504461
50,jd51,0.05624501,0.09382313
51,jd52,0.09755387,0.11820575
52,jd53,0.09162924,0.110113904
53,jd54,0.051678482,0.042738035
54,jd55,0.098525375,0.09813132
55,jd56,0.035536006,0.186934
56,jd59,0.06627312,0.09616421
57,jd60,0.071175285,0.14163165
58,jd61,0.03972977,0.13557664
59,jd62,0.0132963415,0.060593165
60,jd63,0.0041117957,0.0037470078
61,jd64,0.104185365,0.12997404
62,jd65,0.12826054,0.2556741
63,jd66,0.07138269,0.12372906
64,jd69,0.054879144,0.098220505
65,jd79,0.12669459,0.13449891
66,jd80,0.10063799,0.14012589
67,jd81,0.03875179,0.15565647
68,jd83,0.07214991,0.1365314
69,jd84,0.07653196,0.2091138
70,jd85,0.057488788,0.12122874
71,jd87,0.08161435,0.14831316
72,jd89,0.0381125,0.1665781
73,jd90,0.04263776,0.17999645
74,jd92,0.042051926,0.067314856
75,jd93,0.11405248,0.115259595
76,jd94,0.07738161,0.5777157
77,jd95,0.098201565,0.11958997
78,jd96,0.07125489,0.13026549
79,jd97,0.085386634,0.119209036
80,jd98,0.03970088,0.075572036
81,jd99,0.062342897,0.11369561
82,jd101,0.0058739944,0.005209133
83,jd102,0.050782926,0.0965406
84,jd103,0.030174654,0.104030944
85,jd106,0.045111164,0.10376906
86,jd107,0.012218172,0.010039952
87,jd108,0.07515712,0.039952017
88,jd109,0.04242957,0.15110932
89,jd110,0.06100484,0.1020055
90,jd111,0.0055693174,0.0043342616
91,jd112,0.004876846,0.004301948
92,jd113,0.033049546,0.09885418
93,jd114,0.088107675,0.08281862
94,jd117,0.10771053,0.07348084
95,jd118,0.0065047243,0.005719822
96,jd120,0.03696673,0.093273655
97,jd121,0.039546262,0.14932151
98,jd122,0.085165076,0.1145385
99,jd123,0.07239289,0.13094625
100,jd124,0.08242924,0.11913877
101,jd125,0.1003308,0.1331081
102,jd126,0.06970758,0.13753514
103,jd135,0.04056545,0.06475512
104,jd136,0.06812466,0.106814615
105,psk1,0.0050022663,0.0045477008
106,psk2,0.0052299104,0.0048120157
107,psk3,0.015187815,0.015121988
108,psk4,0.002255754,0.009198907
109,psk5,0.007781352,0.005498134
110,psk6,0.0044083814,0.0040780436
111,psk7,0.0155706415,0.015512695
112,psk8,2.869887e-10,0.0
