,nodes,maxflood,sumflood,GNN,NN
0,jd1,122.221794,179216.84,0.0,0.0
1,jd2,166.78252,271759.2,1.4720168,1.9271271
2,jd3,202.43506,326359.2,1.2564205,2.277653
3,jd4,227.9489,389588.5,0.9451475,1.2479881
4,jd5,64.54353,113707.28,0.0,0.0
5,jd6,76.068184,131480.4,0.0,0.0
6,jd7,45.04391,67495.95,0.0,0.0
7,jd8,60.857716,93530.18,0.9897747,1.403221
8,jd9,44.036674,71425.78,1.7344074,2.4744275
9,jd10,116.34632,189867.42,0.3703321,0.31045815
10,jd11,172.30927,280365.4,0.0,0.0
11,jd12,121.28831,209754.92,1.1229113,0.6981355
12,jd13,223.2693,380558.25,0.0,0.0
13,jd14,257.98926,445482.56,1.7089999,3.5993652
14,jd15,108.9402,184078.27,2.6790168,1.9831603
15,jd16,121.60106,198682.25,3.6094413,5.5307055
16,jd17,236.97964,412245.25,3.3079095,3.8023014
17,jd18,202.89508,329277.94,3.4230552,4.649326
18,jd19,184.68785,305356.2,2.848349,2.7322083
19,jd20,153.52965,253537.0,0.16818069,0.16818069
20,jd21,67.36763,116916.17,2.4108539,3.357416
21,jd22,121.233986,206333.14,1.22621,1.8109932
22,jd23,121.709404,204434.1,4.2408714,4.495627
23,jd24,209.04411,337413.0,0.0,0.0
24,jd25,156.6168,263977.38,4.0820417,3.4313307
25,jd26,224.6332,383613.1,1.6841705,2.4016802
26,jd27,240.87726,396464.1,1.788828,2.3182976
27,jd28,313.89963,537812.8,0.4834664,0.7890832
28,jd29,121.81416,215304.56,0.0,0.0
29,jd30,132.26982,224556.8,0.0,0.0
30,jd31,90.70781,150513.27,1.0225662,2.8952315
31,jd32,172.95776,303773.3,2.053368,2.976895
32,jd33,189.58772,302933.1,1.344747,1.344747
33,jd34,239.9502,375737.03,1.6511992,2.7552056
34,jd35,211.37474,341098.66,1.0996357,1.4407021
35,jd36,345.10306,576209.6,1.7258863,2.0641584
36,jd37,372.41888,608954.75,1.2270613,2.357688
37,jd38,346.94675,559829.9,2.6626053,4.4770217
38,jd39,241.78972,388229.47,2.1384923,3.4227045
39,jd40,407.93372,661408.7,5.2096334,5.751573
40,jd41,287.74005,464066.4,5.1336474,6.69081
41,jd42,356.29947,604291.2,2.160714,8.183312
42,jd43,449.8652,690316.1,3.8317797,5.170001
43,jd44,562.5476,913985.94,3.3108928,4.138436
44,jd45,213.49385,367945.28,1.9661689,2.9492369
45,jd46,99.00223,168038.77,1.3602507,2.9092548
46,jd47,346.7183,548417.8,0.0,0.0
47,jd48,110.15961,155549.66,0.0,0.0
48,jd49,436.60974,736754.7,1.632647,6.5781245
49,jd50,481.03674,772299.2,2.0367432,3.0194306
50,jd51,103.1896,161522.61,2.8702857,3.6575403
51,jd52,201.79628,327988.12,27.485168,30.302322
52,jd53,109.23405,181542.52,4.6389227,6.0791087
53,jd54,54.896503,97113.29,2.6890461,2.6940577
54,jd55,104.293724,177588.39,8.700499,13.778891
55,jd56,67.27887,108534.18,0.13603061,0.13603061
56,jd59,65.14567,107402.68,1.9195161,2.6798954
57,jd60,120.385254,192977.12,0.9589425,0.8147835
58,jd61,138.57005,218562.16,1.9186553,3.4661536
59,jd62,71.64147,91292.586,0.0,0.0
60,jd63,73.79996,119521.01,0.0,0.0
61,jd64,58.64551,100055.04,2.9584224,4.4170094
62,jd65,1012.1969,1712695.9,0.70677197,1.8432262
63,jd66,149.82167,230735.88,1.6204336,2.159166
64,jd69,297.3721,430159.28,3.0613804,9.116407
65,jd79,240.91681,404457.62,1.2724975,1.8800323
66,jd80,265.73038,448954.56,1.144008,2.4662838
67,jd81,194.00592,339920.12,1.1898204,6.241832
68,jd83,258.0397,366690.3,0.53929734,1.2019976
69,jd84,342.10382,467386.38,1.473245,2.8104446
70,jd85,65.26233,103519.74,0.87464166,0.9974893
71,jd87,51.14109,84396.42,0.4275165,0.50632113
72,jd89,58.495785,98139.15,0.34689847,0.68526703
73,jd90,62.209263,100542.016,0.94781727,1.665938
74,jd92,50.753643,84278.48,1.0994369,1.0647427
75,jd93,112.65635,182375.92,2.2325504,3.608642
76,jd94,6.382869,11466.438,6.486558,2.9234066
77,jd95,12.1400385,21764.291,1.4246804,1.9190806
78,jd96,190.58737,182178.16,0.38047794,0.29277343
79,jd97,121.683945,180956.16,1.2916967,2.2709925
80,jd98,62.032196,99448.51,1.638495,1.8798646
81,jd99,32.20853,48430.777,0.33505398,0.37152624
82,jd101,82.79413,130640.83,0.0,0.0
83,jd102,72.67409,128301.33,0.7407761,1.114886
84,jd103,55.700127,89362.71,0.0,0.0
85,jd106,39.47975,69432.21,1.3486148,1.349862
86,jd107,62.962933,100944.94,0.0,0.0
87,jd108,77.06929,112433.625,0.21952356,0.21952356
88,jd109,115.82445,183825.03,0.67988783,1.1743526
89,jd110,148.94437,153102.2,0.6670815,0.74762744
90,jd111,81.75979,118774.56,0.0,0.0
91,jd112,79.57043,135163.28,0.0,0.0
92,jd113,108.22829,99827.36,0.0,0.0
93,jd114,65.42168,109859.16,2.5552206,3.8755333
94,jd117,61.58095,101351.04,4.5219417,3.3536506
95,jd118,51.606102,92169.3,0.0,0.0
96,jd120,67.729965,115502.11,0.44275394,0.78933007
97,jd121,91.28461,144757.45,0.28531313,0.7524977
98,jd122,202.58127,339271.25,2.289509,2.9414086
99,jd123,225.66139,351803.06,2.7904913,3.355809
100,jd124,300.37555,502964.12,0.9351846,1.3239251
101,jd125,287.0357,487995.84,2.1034863,2.8874419
102,jd126,434.0409,712493.56,0.5585613,0.68927443
103,jd135,106.45515,180449.94,0.4710656,0.49450734
104,jd136,106.600395,154956.25,3.7770226,5.7853975
105,psk1,0.0,0.0,0.0,0.0
106,psk2,0.0,0.0,0.0,0.0
107,psk3,0.0,0.0,0.0,0.0
108,psk4,0.0,0.0,0.0,0.0
109,psk5,0.0,0.0,0.0,0.0
110,psk6,0.0,0.0,0.0,0.0
111,psk7,0.0,0.0,0.0,0.0
112,psk8,0.0,0.0,0.0,0.0
