,edgeds,GNN,NN
0,GQ1,0.22784285,0.26773572
1,GQ2,0.9547286,1.2410718
2,GQ3,0.8271298,0.63552016
3,GQ4,0.5324687,0.9741953
4,GQ5,0.71504784,1.3118151
5,GQ6,0.56902134,0.29865682
6,GQ7,1.5388144,1.8395259
7,GQ8,0.53861094,0.53542817
8,GQ9,1.5109342,1.5550333
9,GQ10,0.74247324,1.7893994
10,GQ11,0.26339307,0.23751007
11,GQ12,0.33736935,0.18838851
12,GQ13,0.36884353,0.118743405
13,GQ14,0.15787226,0.08262081
14,GQ15,0.11642453,0.11045348
15,GQ16,1.0020562,1.3019824
16,GQ17,0.59329414,0.34950903
17,GQ18,1.1960477,1.4369751
18,GQ19,1.096656,0.55928206
19,GQ20,0.22333093,0.10887817
20,GQ21,1.0079212,0.42802653
21,GQ22,0.7540845,0.39189935
22,GQ23,1.3587868,1.6499691
23,GQ24,1.3025881,1.870564
24,GQ25,0.4988531,0.6873977
25,GQ26,0.3695349,0.3304615
26,GQ27,0.6325586,0.7550821
27,GQ28,0.40548402,0.2615104
28,GQ29,2.3233237,3.2686124
29,GQ30,0.81249386,0.91621196
30,GQ31,0.4079736,0.5246527
31,GQ32,0.47715083,0.6420648
32,GQ33,0.8051493,1.076849
33,GQ34,0.33756483,0.30752426
34,GQ35,0.53480625,0.6331163
35,GQ36,0.5672177,1.0363145
36,GQ37,0.33776456,0.5595033
37,GQ38,0.1392398,0.13839073
38,GQ39,0.51462847,0.5202226
39,GQ40,0.47077626,0.5158386
40,GQ41,1.2283705,1.5398668
41,GQ42,1.0832841,1.7837034
42,GQ43,2.1344965,2.741085
43,GQ44,1.0026492,1.349655
44,GQ45,1.5626402,0.57272893
45,GQ46,1.2148811,1.6323204
46,GQ47,0.28601745,0.12362739
47,GQ48,0.28880906,0.13335761
48,GQ49,0.86079735,0.49581063
49,GQ50,0.30780968,0.14140774
50,GQ51,0.6355934,1.2627391
51,GQ52,0.52120304,0.8719298
52,GQ53,1.6565093,2.4119442
53,GQ54,0.44712135,0.49454236
54,GQ55,0.5049247,0.34325394
55,GQ56,1.589742,2.451871
56,GQ57,0.86947453,0.57557076
57,GQ58,0.9540445,1.212974
58,GQ59,0.99198925,1.4967556
59,GQ60,4.8175473,5.9043593
60,GQ61,0.43042406,0.18533169
61,GQ62,1.1108171,0.56812006
62,GQ63,2.7109845,1.2710333
63,GQ64,0.30895376,0.3956829
64,GQ65,0.40040544,0.42187008
65,GQ66,0.3208967,0.15797608
66,GQ67,1.2270439,1.3731134
67,GQ68,0.8759428,0.74465454
68,GQ69,1.3893559,1.7891111
69,GQ70,0.6570269,0.4754699
70,GQ71,0.89963067,0.7362322
71,GQ72,2.1871576,1.8436009
72,GQ73,1.5607921,1.3509579
73,GQ74,0.4732679,0.37982324
74,GQ75,0.43146855,0.3075448
75,GQ76,2.1598377,2.3190491
76,GQ77,1.3567995,2.3891137
77,GQ78,0.8999161,1.4145291
78,GQ79,0.44670567,0.5913133
79,GQ80,0.7041917,1.3320811
80,GQ81,0.6531242,1.3723773
81,GQ82,0.8686247,0.49683195
82,GQ83,0.58318293,0.54280865
83,GQ84,1.1541065,1.4725353
84,GQ85,0.48819104,1.0955614
85,GQ86,0.8402302,0.8797154
86,GQ87,0.084271275,0.05663547
87,GQ88,0.39058566,0.4268121
88,GQ89,0.30664384,0.2781562
89,GQ90,0.38195255,0.2779689
90,GQ91,0.29974777,0.28309578
91,GQ92,0.8457652,1.1196294
92,GQ93,1.0573522,1.6962653
93,GQ94,1.2475002,1.4995574
94,GQ95,0.35941708,0.21306498
95,GQ96,0.63651556,0.96245044
96,GQ97,0.3361972,0.30193818
97,GQ98,0.29935342,0.30454496
98,GQ99,0.78717524,0.44056872
99,GQ100,0.2819491,0.36780888
100,GQ101,0.5473051,0.2698954
101,GQ102,1.1276275,1.0039601
102,GQ103,0.39604434,0.38322845
103,GQ104,0.8417052,0.817346
104,GQ105,1.3331983,2.3853827
105,GQ106,0.38194087,0.67706585
106,GQ107,0.6022569,0.7698021
107,GQ108,1.026293,1.6113718
108,GQ109,0.3541248,0.28564522
109,GQ110,0.61799556,0.4497736
110,GQ111,0.40130416,0.33638594
111,GQ112,1.3839461,0.88018775
112,GQ113,0.5390802,0.5410931
113,GQ114,0.8404445,0.9193069
114,GQ115,0.47633776,0.26491728
115,GQ116,0.6490391,0.5604922
116,GQ117,0.7059691,1.2619117
117,GQ118,1.4008615,2.0196974
118,GQ119,1.8486047,2.841108
119,GQ120,7.221753e-09,5.52602e-10
120,GQ121,1.5607501,2.1114821
121,GQ122,0.5993151,0.4897702
122,GQ123,0.7097504,0.5087401
123,GQ124,0.22484194,0.19424345
124,GQ125,0.36537758,0.32008883
125,GQ126,0.36668697,0.361135
126,GQ127,1.4407535,2.2895265
127,GQ128,1.7314421,1.5884471
128,GQ129,1.1778286,1.7598737
129,GQ130,0.8671318,1.2294226
130,GQ131,0.49413514,0.5340548
