,Node depth,Node inflow,Node outflow,Flooding,Edge depth,Edge volume,Edge flow,Accuracy,Precision,Recall,F1-score
r1_edgef_gat_0_test,0.09633193165063858,1.4136220216751099,1.443211317062378,4.3061699867248535,0.013350619934499264,5.345137596130371,1.2874647378921509,0.7068102386559377,0.4537598730717436,0.994848456813239,0.6232496392244792
r1_edgef_gat_1_test,0.0713537260890007,1.1470701694488525,1.1835540533065796,3.821631669998169,0.009435189887881279,4.160862922668457,1.0225616693496704,0.6132135834699164,0.3863568880332863,0.9973516069481918,0.5569578629213499
r1_edgef_gat_2_test,0.07802042365074158,1.3411511182785034,1.3616867065429688,4.265848159790039,0.010000384412705898,4.017928123474121,1.194085717201233,0.6408928481631394,0.4040179811979467,0.9958662061689988,0.5748302006560081
r1_edgef_gat_3_test,0.07656316459178925,1.0303219556808472,1.0788319110870361,3.8223137855529785,0.007762404624372721,3.2417073249816895,0.9568305611610413,0.6350423130389277,0.4003230045210679,0.9983757897889545,0.5714923004656864
r1_edgef_gat_4_test,0.07695508748292923,1.033501386642456,1.0773112773895264,4.089509963989258,0.012641670182347298,4.81234073638916,0.9443700909614563,0.6814427685145648,0.4333198579293953,0.9969467868973128,0.6040787452102705
r1_edgef_flood_gat_0_test,0.09633193165063858,1.4136220216751099,1.443211317062378,2.8145906925201416,0.013350619934499264,5.345137596130371,1.2874647378921509,0.9960146393142637,0.9953910101206895,0.988226582586612,0.9917958581184587
r1_edgef_flood_gat_1_test,0.0713537260890007,1.1470701694488525,1.1835540533065796,2.0233495235443115,0.009435189887881279,4.160862922668457,1.0225616693496704,0.996649782362081,0.9980316940341473,0.9882052541852442,0.993094167110425
r1_edgef_flood_gat_2_test,0.07802042365074158,1.3411511182785034,1.3616867065429688,2.5458524227142334,0.010000384412705898,4.017928123474121,1.194085717201233,0.9964060125511494,0.9970347269192547,0.9881952892764084,0.9925953288523022
r1_edgef_flood_gat_3_test,0.07656316459178925,1.0303219556808472,1.0788319110870361,2.161579132080078,0.007762404624372721,3.2417073249816895,0.9568305611610413,0.9966606919581787,0.9969610723544403,0.9893167086486527,0.993124180500502
r1_edgef_flood_gat_4_test,0.07695508748292923,1.033501386642456,1.0773112773895264,2.1016669273376465,0.012641670182347298,4.81234073638916,0.9443700909614563,0.9966099623363242,0.9976588206678795,0.9884124543598434,0.9930141137923875
r1_flood_gat_0_vali,0.09927554428577423,2.6657729148864746,2.7356324195861816,4.730318069458008,0.010942508466541767,4.7331223487854,1.0249254703521729,0.9954965832287888,0.9938104465782125,0.9855106447998041,0.9896431440885654
r1_flood_gat_1_vali,0.08567451685667038,3.010756015777588,2.410060167312622,5.0518598556518555,0.008566451258957386,3.903233528137207,1.1770895719528198,0.9944175085380375,0.9959322131074203,0.9799466091562157,0.9878747463530861
r1_flood_gat_2_vali,0.07959575206041336,3.3372623920440674,2.665881633758545,5.6448588371276855,0.006701023783534765,2.8859591484069824,1.033657431602478,0.9948140121950254,0.9970518438863015,0.981868889692818,0.9894021223904461
r1_flood_gat_3_vali,0.07648882269859314,3.0508124828338623,2.689253807067871,4.955416679382324,0.008929249830543995,3.4655988216400146,1.1586518287658691,0.9946969274859553,0.9974603083705752,0.980073397249382,0.988690418037343
r1_flood_gat_4_vali,0.0770174041390419,2.9080138206481934,2.301422357559204,5.042888164520264,0.007908651605248451,3.25529408454895,1.011127233505249,0.9953633159191618,0.9967074031015007,0.9817303633272316,0.9891621941124378
r1_edgef_flood_nncat_0_vali,0.11321797221899033,1.7407540082931519,1.7163207530975342,2.915898561477661,0.012079892680048943,5.363993167877197,1.4920451641082764,0.996370899097526,0.9951407724465738,0.9882028042201619,0.991659653420467
r1_edgef_flood_nncat_1_vali,0.10921541601419449,1.4313961267471313,1.4687817096710205,2.965366840362549,0.010128159075975418,4.392437934875488,1.2642433643341064,0.9954862483688875,0.9936782455967507,0.9868276631194584,0.9902411062540238
r1_edgef_flood_nncat_2_vali,0.12156257033348083,1.6664576530456543,1.7361235618591309,3.2838666439056396,0.010902468115091324,5.031428813934326,1.4994362592697144,0.9948266988625697,0.9956556318408225,0.9833075743739808,0.9894430792675634
r1_edgef_flood_nncat_3_vali,0.11413394659757614,1.518729567527771,1.6064122915267944,2.920351982116699,0.01101593766361475,4.800036907196045,1.3489906787872314,0.9953016512875423,0.9956833583808158,0.9844025552944473,0.9900108227475413
r1_edgef_flood_nncat_4_vali,0.10199850052595139,1.4789988994598389,1.5640480518341064,2.8484644889831543,0.01017129048705101,4.544447898864746,1.3130987882614136,0.9958960745590885,0.9961764740360085,0.9847387008745949,0.9904245666938505
